,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
1568,xtklbWLh/,xtklbWLh22,22,18,"Goal!  Hannover 1, 1899 Hoffenheim 1. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the top left corner.",1,,2,TSG Hoffenheim,Hannover 96,sejad salihovic,,,,12.0,1.0,1,14.0,2.0,0,2.0,0
1579,xtklbWLh/,xtklbWLh33,33,30,"Goal!  Hannover 2, 1899 Hoffenheim 1. Mohammed Abdellaoue (Hannover) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Hannover 96,TSG Hoffenheim,mohammed abdellaoue,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
1821,84Llk2m6/,84Llk2m662,62,56,"Goal!  Bordeaux 1, St Etienne 2. Jussie (Bordeaux) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bordeaux,St Etienne,jussie,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
1908,fLN0n0XO/,fLN0n0XO38,38,32,Penalty missed! Bad penalty by Julien FA©ret (Rennes) right footed shot is just a bit too high. Julien FA©ret should be disappointed.,1,,2,Stade Rennes,Dijon FCO,julien feret,,,,1.0,2.0,0,14.0,1.0,0,2.0,0
1946,fLN0n0XO/,fLN0n0XO76,76,57,"Penalty missed! Still  Dijon 1, Rennes 3. Gregory Thil (Dijon) hits the left post with a right footed shot.",1,,2,Stade Rennes,Dijon FCO,gregory thil,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
2391,bw0Yaqcc/,bw0Yaqcc51,51,42,"Goal!  Schalke 1, 1. FC Koln 1. Klaas-Jan Huntelaar (Schalke) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Schalke 04,FC Cologne,klaasjan huntelaar,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
2807,KhlsbNR9/,KhlsbNR935,35,27,"Goal!  FC Nurnberg 0, Hannover 2. Konstantin Rausch (Hannover) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Hannover 96,Nurnberg,konstantin rausch,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
3128,t2kwa3C3/,t2kwa3C317,17,25,"Goal!  Hamburg 1, Hertha Berlin 0. Mladen Petric (Hamburg) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Hamburg SV,Hertha Berlin,mladen petric,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
3274,UPAXkaZk/,UPAXkaZk59,59,67,"Goal!  Borussia Monchengladbach 1, Stuttgart 0. Filip Daems (Borussia Monchengladbach) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Borussia Monchengladbach,VfB Stuttgart,filip daems,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
3590,x8cIHKWb/,x8cIHKWb74,74,84,"Goal!  Toulouse 2, Dijon 0. Paulo Machado (Toulouse) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Toulouse,Dijon FCO,paulo machado,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
4287,WMIN4blq/,WMIN4blq37,37,32,"Goal!  Borussia Monchengladbach 2, Wolfsburg 1. Filip Daems (Borussia Monchengladbach) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Borussia Monchengladbach,VfL Wolfsburg,filip daems,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
4645,ADHR3I3k/,ADHR3I3k63,63,59,"Penalty saved! Sascha Molders (FC Augsburg) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,FC Augsburg,TSG Hoffenheim,sascha molders,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
4677,ADHR3I3k/,ADHR3I3k95,95,76,"Goal!  FC Augsburg 0, 1899 Hoffenheim 2. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the centre of the goal.",1,,2,TSG Hoffenheim,FC Augsburg,sejad salihovic,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
5177,StGWCMt3/,StGWCMt3140,140,87,"Goal!  SV Werder Bremen 4, SC Freiburg 3. Aaron Hunt (SV Werder Bremen) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Werder Bremen,SC Freiburg,aaron hunt,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
5412,vuIoDdoU/,vuIoDdoU101,101,90,"Goal!  Caen 1, Lille 2. Benjamin Nivet (Caen) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Caen,Lille,benjamin nivet,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5560,0Ed6GSCi/,0Ed6GSCi36,36,31,"Goal!  Montpellier 1, Rennes 0. YounA©s Belhanda (Montpellier) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Montpellier,Stade Rennes,younes belhanda,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5709,fydAFnSc/,fydAFnSc75,75,68,"Goal!  Nancy 1, Sochaux 2. Youssouf Hadji (Nancy) converts the penalty with a right footed shot to the bottom left corner.",1,,1,AS Nancy Lorraine,Sochaux,youssouf hadji,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
5798,j3kJDQdA/,j3kJDQdA55,55,64,"Goal!  Paris Saint Germain 2, Valenciennes 1. NenAª (Paris Saint Germain) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Paris Saint-Germain,Valenciennes,nene,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
6686,CtEdUSdJ/,CtEdUSdJ63,63,68,"Goal!  Sporting GijA³n 1, Real Sociedad 2. De las Cuevas (Sporting GijA³n) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Sporting Gijon,Real Sociedad,de las cuevas,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
6860,htFsNcAR/,htFsNcAR36,36,37,"Goal!  Kaiserslautern 0, Bayern Munich 1. Mario Gomez (Bayern Munich) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Bayern Munich,Kaiserslautern,mario gomez,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
6884,htFsNcAR/,htFsNcAR60,60,55,"Penalty saved! Mario Gomez (Bayern Munich) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Bayern Munich,Kaiserslautern,mario gomez,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
7341,O0NQQuB2/,O0NQQuB217,17,11,"Goal!  Hamburg 1, 1. FC Koln 0. Mladen Petric (Hamburg) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Hamburg SV,FC Cologne,mladen petric,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
7923,4xCdEwYE/,4xCdEwYE34,34,42,"Goal!  Sochaux 2, St Etienne 1. Ryad Boudebouz (Sochaux) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Sochaux,St Etienne,ryad boudebouz,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
8368,MDMiFJI8/,MDMiFJI816,16,11,"Penalty saved! M'Baye Niang (Caen) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,2,Caen,Stade Rennes,mbaye niang,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
8851,vBv3fxdk/,vBv3fxdk87,87,75,"Goal!  Lille 3, Marseille 2. Moussa Sow (Lille) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lille,Marseille,moussa sow,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
9803,bBByVmEG/,bBByVmEG62,62,60,"Goal!  Real Madrid 2, Getafe 1. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Madrid,Getafe,cristiano ronaldo,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
10524,n3jHEF21/,n3jHEF2159,59,73,"Goal!  Bayern Munich 6, SC Freiburg 0. Mario Gomez (Bayern Munich) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Bayern Munich,SC Freiburg,mario gomez,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
10567,n9s9ZBao/,n9s9ZBao22,22,24,"Penalty saved! Alvaro Negredo (FC Sevilla) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,2,Sevilla,Villarreal,alvaro negredo,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
10579,n9s9ZBao/,n9s9ZBao34,34,35,"Goal!  Villarreal 1, FC Sevilla 1. Giuseppe Rossi (Villarreal) converts the penalty with a left footed shot to the bottom right corner.",1,,1,Villarreal,Sevilla,giuseppe rossi,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
11013,WGiCxJf8/,WGiCxJf863,63,45,"Goal!  FSV Mainz 0, 1899 Hoffenheim 2. Ryan Babel (1899 Hoffenheim) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,TSG Hoffenheim,Mainz,ryan babel,,,,,1.0,1,14.0,1.0,0,2.0,0
11588,Ait1vcn4/,Ait1vcn462,62,51,"Goal!  Palermo 1, Inter Milan 2. Diego Milito (Inter Milan) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Internazionale,Palermo,diego milito,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
12189,jiZlsa2o/,jiZlsa2o84,84,90,"Goal!  Juventus 4, Parma 1. Sebastian Giovinco (Parma) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Parma,Juventus,sebastian giovinco,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
12590,tjqPVTbA/,tjqPVTbA74,74,70,"Penalty saved! Javi Fuego (Rayo Vallecano) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Rayo Vallecano,Real Zaragoza,javi fuego,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
12884,vseKzcPK/,vseKzcPK42,42,31,"Goal!  1. FC Koln 0, FC Nurnberg 1. Timmy Simons (FC Nurnberg) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Nurnberg,FC Cologne,timmy simons,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
12891,vseKzcPK/,vseKzcPK49,49,35,"Goal!  1. FC Koln 0, FC Nurnberg 2. Timmy Simons (FC Nurnberg) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Nurnberg,FC Cologne,timmy simons,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
14300,lboqICv7/,lboqICv780,80,78,"Goal!  Lille 2, Sochaux 1. Eden Hazard (Lille) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lille,Sochaux,eden hazard,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
14604,roxEZD9s/,roxEZD9s69,69,52,"Goal!  Toulouse 1, Bordeaux 2. Franck Tabanou (Toulouse) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Toulouse,Bordeaux,franck tabanou,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
14641,roxEZD9s/,roxEZD9s106,106,77,"Penalty saved! Franck Tabanou (Toulouse) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom left corner.",1,,1,Toulouse,Bordeaux,franck tabanou,,,,3.0,1.0,0,14.0,2.0,0,2.0,0
15485,8nUoJhP0/,8nUoJhP021,21,20,"Goal!  Evian Thonon Gaillard 2, Paris Saint Germain 0. Yannick Sagbo (Evian Thonon Gaillard) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Evian Thonon Gaillard,Paris Saint-Germain,yannick sagbo,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
15704,AgaNr7rG/,AgaNr7rG114,114,87,"Penalty saved! Luis GarcA­a (Real Zaragoza) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Real Zaragoza,Espanyol,luis garcia,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
15825,CpxqkfoG/,CpxqkfoG11,11,8,"Goal!  Udinese 1, Fiorentina 0. Antonio Di Natale (Udinese) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Udinese,Fiorentina,antonio di natale,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
