time,number,latitude,longitude,u10,v10,t2m,d2m,tp
2023-04-01 00:00:00,1,50.75,4.25,6.274622,4.4660225,281.8192,280.54785,0.0
2023-04-01 00:00:00,2,50.75,4.25,6.0294075,3.880331,281.849,280.89087,0.0
2023-04-01 00:00:00,3,50.75,4.25,7.174402,3.2213998,282.10864,280.8493,0.0
2023-04-01 00:00:00,4,50.75,4.25,7.22771,1.8897182,282.06284,280.7645,0.0
2023-04-01 00:00:00,5,50.75,4.25,7.666814,1.796671,281.83972,280.58652,0.0
2023-04-01 00:00:00,6,50.75,4.25,8.30328,3.6057954,282.1387,280.87024,0.0
2023-04-01 00:00:00,7,50.75,4.25,6.6324015,3.487414,281.858,280.6043,0.0
2023-04-01 00:00:00,8,50.75,4.25,6.939106,3.7052917,281.80917,280.54642,0.0
2023-04-01 00:00:00,9,50.75,4.25,7.2924223,3.5896735,281.79816,280.54468,0.0
2023-04-01 00:00:00,10,50.75,4.25,6.5476055,2.0792675,281.96094,280.76334,0.0
2023-04-01 00:00:00,11,50.75,4.25,6.978776,1.6232437,281.9444,280.7344,0.0
2023-04-01 00:00:00,12,50.75,4.25,6.8292675,3.386075,281.79718,280.69656,0.0
2023-04-01 00:00:00,13,50.75,4.25,6.630418,3.8741126,281.82797,280.61575,0.0
2023-04-01 00:00:00,14,50.75,4.25,6.188834,5.0309854,281.80368,280.62637,0.0
2023-04-01 00:00:00,15,50.75,4.25,4.869041,4.2767034,281.68198,280.76965,0.0
2023-04-01 00:00:00,16,50.75,4.25,5.0547495,5.051944,281.62967,280.62723,0.0
2023-04-01 00:00:00,17,50.75,4.25,5.298724,4.4588823,281.8753,280.7559,0.0
2023-04-01 00:00:00,18,50.75,4.25,5.0036736,4.506558,281.5653,280.6169,0.0
2023-04-01 00:00:00,19,50.75,4.25,6.0846987,3.8614454,281.79315,280.79343,0.0
2023-04-01 00:00:00,20,50.75,4.25,6.4511566,3.3119135,281.76837,280.7192,0.0
2023-04-01 00:00:00,21,50.75,4.25,7.3935823,4.2679515,281.97095,280.68024,0.0
2023-04-01 00:00:00,22,50.75,4.25,5.553112,3.7870536,281.9161,280.8304,0.0
